Array length;No of operations
0;0
1;0
2;0
3;0
4;2
5;4
6;8
7;15
8;23
9;25
10;29
11;34
12;47
13;49
14;59
15;70
16;69
17;75
18;95
19;92
20;99
21;123
22;118
23;125
24;135
25;133
26;160
27;169
28;169
29;171
30;184
31;198
32;194
33;228
34;219
35;246
36;247
37;274
38;275
39;281
40;288
41;301
42;285
43;322
44;318
45;326
46;354
47;351
48;379
49;371
50;380
51;395
52;413
53;444
54;425
55;456
56;440
57;458
58;458
59;472
60;510
61;521
62;525
63;552
64;548
65;564
66;578
67;574
68;579
69;598
70;648
71;607
72;631
73;665
74;691
75;701
76;702
77;751
78;722
79;728
80;741
81;799
82;805
83;779
84;816
85;797
86;839
87;789
88;816
89;861
90;878
91;869
92;865
93;915
94;919
95;904
96;942
97;920
98;933
99;965
100;975
101;1097
102;1062
103;1074
104;1101
105;1026
106;1060
107;1146
108;1097
109;1116
110;1081
111;1145
112;1130
113;1206
114;1175
115;1178
116;1168
117;1217
118;1230
119;1210
120;1233
121;1313
122;1338
123;1377
124;1287
125;1352
126;1340
127;1341
128;1421
129;1439
130;1400
131;1484
132;1427
133;1403
134;1399
135;1490
136;1417
137;1491
138;1532
139;1549
140;1527
141;1563
142;1543
143;1697
144;1529
145;1532
146;1672
147;1627
148;1714
149;1607
150;1604
151;1706
152;1609
153;1721
154;1750
155;1688
156;1715
157;1792
158;1735
159;1877
160;1734
161;1884
162;1793
163;1897
164;1764
165;1828
166;1860
167;1913
168;1948
169;1896
170;1978
171;1994
172;2005
173;2023
174;1921
175;2027
176;2151
177;2010
178;2058
179;2092
180;2054
181;2152
182;2078
183;2140
184;2080
185;2199
186;2347
187;2209
188;2263
189;2120
190;2247
191;2264
192;2271
193;2273
194;2239
195;2311
196;2434
197;2338
198;2399
199;2286
200;2375
201;2317
202;2333
203;2435
204;2454
205;2472
206;2452
207;2558
208;2364
209;2434
210;2640
211;2608
212;2544
213;2533
214;2544
215;2650
216;2638
217;2630
218;2764
219;2517
220;2940
221;2734
222;2682
223;2749
224;2821
225;2730
226;2740
227;2900
228;2705
229;2731
230;2775
231;2815
232;2974
233;3013
234;2994
235;2924
236;2895
237;2882
238;2943
239;2971
240;3006
241;2948
242;3030
243;2955
244;2974
245;3040
246;3244
247;3197
248;3048
249;3151
250;3212
251;3077
252;3264
253;3179
254;3406
255;3291
256;3289
257;3171
258;3201
259;3252
260;3292
261;3377
262;3308
263;3245
264;3319
265;3333
266;3533
267;3520
268;3581
269;3555
270;3482
271;3566
272;3528
273;3685
274;3377
275;3493
276;3552
277;3600
278;3507
279;3517
280;3581
281;3676
282;3756
283;3727
284;3574
285;3612
286;3689
287;3860
288;3867
289;3779
290;3798
291;4019
292;3844
293;3855
294;3875
295;3735
296;3892
297;3784
298;3995
299;3893
300;4065
301;3997
302;4142
303;4134
304;3993
305;4120
306;3928
307;4175
308;4025
309;3965
310;4358
311;4067
312;4010
313;4169
314;4194
315;4174
316;4346
317;4145
318;4226
319;4275
320;4258
321;4467
322;4325
323;4316
324;4231
325;4355
326;4272
327;4321
328;4357
329;4353
330;4337
331;4426
332;4432
333;4408
334;4584
335;4679
336;4535
337;4636
338;4660
339;4578
340;4640
341;4494
342;4935
343;4718
344;4669
345;4627
346;4588
347;4795
348;4811
349;4691
350;4721
351;4843
352;4729
353;4871
354;4890
355;4722
356;5150
357;4901
358;5010
359;4775
360;4964
361;5004
362;5065
363;4889
364;5229
365;4821
366;4914
367;4979
368;5038
369;5048
370;5183
371;5066
372;5013
373;5046
374;5049
375;5129
376;5196
377;5232
378;5154
379;5293
380;5242
381;5409
382;5169
383;5274
384;5299
385;5191
386;5271
387;5355
388;5413
389;5427
390;5272
391;5537
392;5405
393;5359
394;5542
395;5439
396;5532
397;5502
398;5633
399;5508
400;5604
401;5701
402;5669
403;5634
404;5911
405;5610
406;5541
407;5678
408;5629
409;5513
410;5707
411;5938
412;5464
413;5942
414;5877
415;5750
416;5916
417;5827
418;6100
419;6061
420;6094
421;5952
422;5843
423;6301
424;5926
425;5889
426;6036
427;6192
428;6309
429;6289
430;6054
431;6112
432;6528
433;6195
434;6159
435;6258
436;6293
437;6355
438;6079
439;6054
440;6157
441;6414
442;6798
443;6284
444;6474
445;6372
446;6782
447;6330
448;6351
449;6368
450;6786
451;6424
452;6481
453;6461
454;6492
455;6619
456;6711
457;6740
458;6722
459;6512
460;6531
461;6809
462;6707
463;6970
464;6667
465;7116
466;6715
467;7075
468;6588
469;6826
470;6643
471;6765
472;6884
473;6827
474;6913
475;6758
476;6844
477;6862
478;7362
479;7015
480;7116
481;6907
482;7323
483;7093
484;6878
485;7062
486;7493
487;7233
488;6972
489;7332
490;7564
491;7207
492;7428
493;7035
494;7230
495;7132
496;7221
497;7225
498;7509
499;7438
500;7367
